employee_id,nome,role,ruolo,reparto_id,reparto_label,ore_dovute_mese_h,saldo_prog_iniziale_h,max_month_hours_h,max_week_hours_h,can_work_night,max_nights_week,max_nights_month,max_consecutive_nights,saturday_count_ytd,sunday_count_ytd,holiday_count_ytd,rest11h_max_monthly_exceptions,rest11h_max_consecutive_exceptions,pool_id,cross_max_shifts_month
8121,Nome-8121 Cognome-8121,OSS,OSS,REP3,,150.0,-23.47,,,,,,,,,,,,,
8122,Nome-8122 Cognome-8122,OSS,OSS,REP5,,150.0,38.0,,,,,,,,,,,,,
8126,Nome-8126 Cognome-8126,OSS,OSS,REP2,,150.0,71.0,,,,,,,,,,,,,
8127,Nome-8127 Cognome-8127,OSS,OSS,REP5,,150.0,78.5,,,,,,,,,,,,,
8130,Nome-8130 Cognome-8130,OSS,OSS,REP5,,150.0,96.5,,,,,,,,,,,,,
8131,Nome-8131 Cognome-8131,OSS,OSS,REP2,,150.0,-4.0,,,,,,,,,,,,,
8132,Nome-8132 Cognome-8132,OSS,OSS,ADT,,150.0,-17.98,,,,,,,,,,,,,
8134,Nome-8134 Cognome-8134,OSS,OSS,REP2,,150.0,96.23,,,,,,,,,,,,,
8135,Nome-8135 Cognome-8135,OSS,OSS,REP5,,150.0,96.0,,,,,,,,,,,,,
8137,Nome-8137 Cognome-8137,OSS,OSS,REP5,,150.0,101.5,,,,,,,,,,,,,
8138,Nome-8138 Cognome-8138,OSS,OSS,REP3,,150.0,6.5,,,,,,,,,,,,,
8139,Nome-8139 Cognome-8139,OSS,OSS,REP3,,150.0,22.5,,,,,,,,,,,,,
8142,Nome-8142 Cognome-8142,OSS,OSS,REP3,,150.0,-20.48,,,,,,,,,,,,,
8145,Nome-8145 Cognome-8145,OSS,OSS,REP3,,150.0,86.0,,,,,,,,,,,,,
8146,Nome-8146 Cognome-8146,OSS,OSS,REP5,,150.0,-62.0,,,,,,,,,,,,,
8147,Nome-8147 Cognome-8147,OSS,OSS,ADT,,150.0,-96.45,,,,,,,,,,,,,
8148,Nome-8148 Cognome-8148,OSS,OSS,REP2,,150.0,158.5,,,,,,,,,,,,,
8150,Nome-8150 Cognome-8150,OSS,OSS,REP2,,150.0,130.5,,,,,,,,,,,,,
8152,Nome-8152 Cognome-8152,OSS,OSS,REP5,,150.0,47.0,,,,,,,,,,,,,
8249,Nome-8249 Cognome-8249,IP,IP,REP5,,150.0,32.5,,,,,,,,,,,,,
8260,Nome-8260 Cognome-8260,IP,IP,REP5,,150.0,69.5,,,,,,,,,,,,,
8304,Nome-8304 Cognome-8304,OSS,OSS,REP5,,150.0,-10.0,,,,,,,,,,,,,
8306,Nome-8306 Cognome-8306,OSS,OSS,REP5,,150.0,29.5,,,,,,,,,,,,,
8384,Nome-8384 Cognome-8384,IP,IP,REP5,,150.0,8.0,,,,,,,,,,,,,
9389,Nome-9389 Cognome-9389,IP,IP,REP5,,150.0,40.0,,,,,,,,,,,,,
9390,Nome-9390 Cognome-9390,IP,IP,REP5,,24.0,5.5,,,,,,,,,,,,,
9404,Nome-9404 Cognome-9404,OSS,OSS,REP2,,150.0,31.0,,,,,,,,,,,,,
9405,Nome-9405 Cognome-9405,OSS,OSS,REP5,,150.0,14.0,,,,,,,,,,,,,
9411,Nome-9411 Cognome-9411,OSS,OSS,REP3,,150.0,4.0,,,,,,,,,,,,,
9414,Nome-9414 Cognome-9414,OSS,OSS,REP5,,150.0,16.5,,,,,,,,,,,,,
9417,Nome-9417 Cognome-9417,OSS,OSS,REP2,,150.0,14.5,,,,,,,,,,,,,
9420,Nome-9420 Cognome-9420,OSS,OSS,REP5,,150.0,16.0,,,,,,,,,,,,,
9435,Nome-9435 Cognome-9435,IP,IP,REP5,,150.0,-1.0,,,,,,,,,,,,,
9440,Nome-9440 Cognome-9440,OSS,OSS,REP5,,150.0,7.5,,,,,,,,,,,,,
9442,Nome-9442 Cognome-9442,IP,IP,REP5,,150.0,12.5,,,,,,,,,,,,,
9455,Nome-9455 Cognome-9455,OSS,OSS,REP3,,150.0,17.0,,,,,,,,,,,,,
9456,Nome-9456 Cognome-9456,OSS,OSS,REP5,,150.0,-1.0,,,,,,,,,,,,,
9471,Nome-9471 Cognome-9471,IP,IP,REP5,,150.0,1.0,,,,,,,,,,,,,
9478,Nome-9478 Cognome-9478,IP,IP,REP5,,150.0,5.0,,,,,,,,,,,,,
9479,Nome-9479 Cognome-9479,OSS,OSS,REP2,,150.0,17.0,,,,,,,,,,,,,
9481,Nome-9481 Cognome-9481,OSS,OSS,REP2,,150.0,11.0,,,,,,,,,,,,,
9484,Nome-9484 Cognome-9484,IP,IP,REP5,,150.0,3.0,,,,,,,,,,,,,
9485,Nome-9485 Cognome-9485,OSS,OSS,REP2,,150.0,13.0,,,,,,,,,,,,,
9486,Nome-9486 Cognome-9486,OSS,OSS,REP2,,150.0,-6.0,,,,,,,,,,,,,
9491,Nome-9491 Cognome-9491,OSS,OSS,REP5,,150.0,0.0,,,,,,,,,,,,,
9493,Nome-9493 Cognome-9493,OSS,OSS,REP3,,150.0,2.0,,,,,,,,,,,,,
9495,Nome-9495 Cognome-9495,IP,IP,REP5,,150.0,0.0,,,,,,,,,,,,,
9502,Nome-9502 Cognome-9502,IP,IP,REP5,,126.0,0.0,,,,,,,,,,,,,
9506,Nome-9506 Cognome-9506,OSS,OSS,REP2,,60.0,0.0,,,,,,,,,,,,,
9601,Nome-9601 Cognome-9601,IP,IP,REP0,,150.0,0.0,,,,,,,,,,,,,
9602,Nome-9602 Cognome-9602,IP,IP,REP0,,150.0,0.0,,,,,,,,,,,,,
9603,Nome-9603 Cognome-9603,IP,IP,REP2,,150.0,0.0,,,,,,,,,,,,,
9604,Nome-9604 Cognome-9604,IP,IP,REP2,,150.0,0.0,,,,,,,,,,,,,
9605,Nome-9605 Cognome-9605,IP,IP,REP2,,150.0,0.0,,,,,,,,,,,,,
9606,Nome-9606 Cognome-9606,IP,IP,REP3,,150.0,0.0,,,,,,,,,,,,,
9607,Nome-9607 Cognome-9607,IP,IP,REP3,,150.0,0.0,,,,,,,,,,,,,
9608,Nome-9608 Cognome-9608,IP,IP,REP3,,150.0,0.0,,,,,,,,,,,,,
9610,Nome-9610 Cognome-9610,IP,IP,REP0,,150.0,0.0,,,,,,,,,,,,,
9611,Nome-9611 Cognome-9611,IP,IP,REP2,,150.0,0.0,,,,,,,,,,,,,
